N	F0	m	d_ms	d0	v0	prob	collision
6	758	1319	422	5	87	0.180	0
6	443	876	247	13	88	0.210	0
5	3634	1463	80	14	90	0.140	0
5	2858	1049	146	12	86	0.390	0
6	3447	1701	459	7	68	0.360	1
3	1621	1866	461	12	98	0.180	0
3	2107	1789	109	12	61	0.330	0
6	901	1617	310	12	96	0.470	0
3	2369	701	117	15	56	0.130	0
7	1820	1733	350	5	53	0.130	1
6	3405	1700	100	15	62	0.220	0
7	1074	1365	349	5	50	0.110	0
7	1861	1713	152	13	82	0.050	0
8	4935	1720	125	15	111	0.040	0
3	1374	1661	23	17	108	0.280	0
6	1315	1814	122	9	55	0.280	0
3	1453	1640	28	17	84	0.150	0
3	1297	1514	217	14	67	0.340	0
8	2376	1248	322	8	103	0.300	1
4	1599	794	229	17	78	0.050	0
6	1672	523	473	18	115	0.200	0
5	484	505	325	11	82	0.490	0
7	2487	1395	391	14	91	0.060	0
3	1138	661	297	18	64	0.160	0
7	911	1252	322	18	55	0.260	0
4	1511	664	282	5	62	0.040	1
3	370	1162	64	11	56	0.350	0
6	2065	510	370	5	69	0.420	1
3	132	664	131	8	101	0.050	0
3	1654	831	269	11	62	0.300	0
5	750	1549	310	12	59	0.220	0
7	3186	602	220	10	119	0.310	1
3	3959	1685	305	10	91	0.190	0
8	2040	523	244	14	98	0.310	0
6	133	1032	186	13	68	0.420	0
8	791	1400	285	18	110	0.290	0
4	2222	1219	125	15	119	0.260	0
7	767	666	271	11	93	0.230	0
6	4799	671	310	9	106	0.070	1
8	1797	1280	478	9	118	0.150	1
6	150	1194	368	17	71	0.160	0
6	3657	1257	388	15	100	0.300	0
5	1751	1674	213	7	82	0.380	0
3	2987	1511	157	9	103	0.320	0
7	4237	1807	48	6	110	0.460	0
5	260	747	200	16	62	0.460	0
7	4876	978	227	7	73	0.130	1
6	846	717	276	6	119	0.490	1
5	1791	646	262	18	108	0.490	0
7	2477	800	46	6	92	0.420	0
7	1534	1766	340	19	62	0.380	0
4	2619	958	159	17	50	0.230	0
8	3541	1520	460	8	78	0.010	1
4	896	1039	146	16	64	0.030	0
3	2066	1253	438	18	76	0.210	0
3	4339	1987	346	6	59	0.410	1
4	4347	1556	416	12	105	0.170	1
4	1861	1426	126	13	61	0.390	0
3	2965	840	1	18	117	0.340	0
7	4852	1237	167	16	119	0.160	0
5	4862	1954	428	8	71	0.460	1
6	2950	1829	494	19	83	0.280	0
6	1836	1283	171	9	113	0.140	0
3	1382	1396	402	6	68	0.320	1
5	4470	1561	202	16	86	0.330	0
7	309	770	342	13	53	0.160	0
3	4870	1143	153	8	104	0.270	0
3	1985	1750	27	18	110	0.360	0
6	2366	1282	97	10	86	0.190	0
6	2685	1285	414	12	50	0.280	0
5	4528	1759	360	5	97	0.490	1
6	1377	1035	317	15	55	0.470	0
4	1558	564	313	5	104	0.010	1
8	1769	1865	405	16	119	0.040	0
4	1347	1145	319	7	72	0.200	0
5	4134	1320	393	11	63	0.430	0
3	3894	1972	103	9	90	0.430	0
3	2920	605	247	10	53	0.350	0
5	4663	1097	319	18	69	0.150	0
3	460	1440	383	12	115	0.150	0
8	3722	1863	104	12	96	0.330	0
4	1088	1942	191	15	71	0.460	0
8	945	630	392	15	117	0.480	0
6	1893	1103	468	9	63	0.250	0
4	3519	990	105	5	100	0.140	1
7	3916	804	17	11	79	0.040	0
5	4831	1189	95	6	96	0.170	1
6	3270	1527	64	5	119	0.110	0
5	615	1331	56	18	68	0.460	0
6	4242	1134	44	18	71	0.400	0
3	2380	1859	41	19	56	0.060	0
7	4720	539	379	14	70	0.270	0
5	2200	780	70	6	114	0.430	0
4	4412	1560	447	7	91	0.150	1
6	1206	1000	434	16	67	0.020	0
7	3389	806	200	19	81	0.430	0
4	4058	1563	123	16	59	0.320	0
6	1900	1565	237	5	119	0.080	1
6	4258	890	277	15	99	0.150	0
4	2863	517	73	12	97	0.020	0
6	3521	1320	277	9	86	0.220	1
4	2207	1971	268	19	86	0.230	0
4	244	1138	332	7	76	0.470	0
3	1638	584	117	7	65	0.220	0
7	126	1016	150	17	113	0.030	0
3	2770	1915	197	16	116	0.270	0
5	647	1372	414	8	71	0.060	0
7	2509	939	397	5	84	0.430	1
4	3746	967	149	7	78	0.400	0
7	2863	677	451	7	71	0.300	1
6	3357	790	285	15	56	0.170	0
3	951	1252	243	5	85	0.340	0
3	2866	1918	32	12	58	0.420	0
3	4367	1235	382	14	66	0.220	0
7	2138	1077	456	5	68	0.340	1
7	1439	1391	73	17	113	0.040	0
5	3376	975	364	13	88	0.330	1
3	2897	1288	195	12	91	0.330	0
7	666	847	318	10	107	0.320	0
6	3634	1955	442	15	52	0.190	0
8	3386	841	58	12	77	0.040	0
6	2284	1292	384	16	99	0.490	0
7	662	556	115	5	51	0.280	0
4	1366	1322	462	15	118	0.410	0
5	4206	1035	424	8	79	0.210	1
8	994	1461	410	15	51	0.040	0
5	2786	1906	183	14	106	0.200	0
7	2506	842	278	15	117	0.310	0
3	4166	736	28	13	68	0.350	0
4	762	1089	185	12	111	0.450	0
4	2703	1035	113	17	55	0.150	0
5	2218	1172	201	19	52	0.240	0
5	336	1677	97	11	59	0.160	0
3	2537	1992	165	13	56	0.470	0
7	1809	545	121	17	83	0.220	0
7	1831	541	101	11	82	0.270	0
4	4597	1464	273	19	111	0.240	0
7	1478	1518	327	16	96	0.070	0
4	2887	993	302	11	88	0.170	0
3	363	1335	437	7	60	0.350	0
3	3632	1799	216	9	96	0.390	0
5	4566	850	346	6	100	0.480	1
6	2132	1070	293	19	84	0.400	0
3	3727	867	313	14	97	0.220	0
5	3723	1801	397	16	78	0.340	0
3	1983	913	238	5	102	0.360	1
4	795	1218	101	15	84	0.420	0
6	3532	672	396	19	52	0.350	0
3	492	1697	78	17	58	0.080	0
4	1609	1483	198	14	78	0.070	0
7	3713	1874	61	14	117	0.390	0
3	2641	1393	41	17	95	0.330	0
7	1671	700	178	8	91	0.210	0
7	3037	1354	444	5	102	0.360	1
7	4715	1957	410	11	81	0.310	1
8	2546	1268	475	17	109	0.360	0
3	2936	1530	89	8	86	0.170	0
8	2035	868	420	11	107	0.230	1
3	4211	1389	468	18	59	0.190	0
8	1622	1329	220	15	70	0.310	0
6	1854	994	336	12	109	0.310	0
3	3396	1663	381	15	100	0.330	0
7	4060	1706	338	13	74	0.120	0
7	3982	1882	182	12	62	0.490	0
5	2236	1741	496	16	56	0.120	0
6	1854	1739	397	9	114	0.080	0
6	3808	915	9	5	113	0.330	1
5	4274	963	46	9	116	0.310	0
3	1596	1357	110	7	55	0.370	0
5	744	925	421	8	116	0.260	0
5	839	670	385	6	59	0.310	1
4	3956	743	108	12	91	0.150	0
5	177	593	238	6	113	0.440	0
7	688	1250	303	10	119	0.250	0
6	3709	1614	350	7	105	0.330	1
7	1202	1818	41	17	79	0.060	0
7	1047	1386	70	17	70	0.440	0
7	4205	1764	221	13	107	0.040	0
7	2547	886	111	17	99	0.290	0
3	2657	1565	401	8	65	0.360	1
6	209	1161	57	6	57	0.340	0
4	3279	1825	341	14	80	0.310	0
3	2178	1243	84	5	102	0.430	0
3	3076	1114	234	7	77	0.090	0
5	860	705	410	13	50	0.340	0
7	4849	1533	467	16	87	0.350	0
7	1587	1453	199	7	114	0.020	0
3	2882	582	453	8	54	0.320	1
5	1901	671	289	16	94	0.370	0
3	4331	729	194	19	86	0.390	0
5	2243	1243	34	15	89	0.270	0
7	4049	1771	325	14	109	0.480	0
7	4455	1819	80	16	63	0.290	0
5	615	724	109	11	61	0.140	0
8	1902	1390	61	7	91	0.030	0
5	1323	934	232	7	68	0.210	0
3	911	793	259	13	83	0.460	0
6	1518	1748	441	18	103	0.260	0
4	1729	1985	184	14	55	0.070	0
5	1587	1067	363	8	93	0.250	1
6	4965	1067	114	5	97	0.400	1
7	665	936	336	8	67	0.050	0
