ArriviDeFerrariAscensore6	ArriviDeFerrariAscensore7	ArriviDaDeFerrari6	ArriviDaDeFerrari7	PersoneSceseDalTreno6vsBrignole	PersoneSceseDalTreno7vsBrignole	IntervalloTreni6vsBrin	OccupazioneTreno6vsBrin	PersoneSaliteABordo6vsBrin	PersoneABordoPreDiscesa6vsBrin	PersoneSceseDalTreno6vsBrin	IntervalloTreni7vsBrin	OccupazioneTreno7vsBrin	PersoneSaliteABordo7vsBrin	PersoneABordoPreDiscesa7vsBrin	PersoneSceseDalTreno7vsBrin	mean_pass_t6	max_pass_t6	mean_pass_t7	max_pass_t7	Out
4.144199	0.786859	453.97203	75.604589	12.652868	31.963817	600	172.459759	35	150.5	13.040241	900	337.006022	57	295	14.993978	6.492778	32	5.315	34	1
3.545336	6.260952	388.649279	598.449816	36.520772	27.2131	900	302.509001	50	258	5.490999	480	237.030979	50	195	7.969021	8.183333	51	10.183333	55	1
5.577324	4.01781	524.166659	452.86371	21.144775	0	900	329.190416	79	255	4.809584	900	111.478941	92	25	5.521059	3.821111	34	1.973333	9	1
2.991742	6.627714	275.823741	584.984428	46.061622	22.377305	345	195.595972	25	177	6.404028	900	187.707084	26	170	8.292916	5.531667	24	2.677222	22	1
3.717801	3.073316	401.71206	300.766724	11.03268	13.565037	900	267.441493	101	172	5.558507	900	318.935621	88	236	5.064379	6.963333	44	5.870556	44	1
5.883562	2.204543	641.122486	233.000684	20.843039	43.104613	900	246.068371	21	236	10.931629	360	164.242807	79	88	2.757193	6.135	36	8.047778	31	1
5.206271	5.515345	520.114278	495.184994	67.081657	15.964169	900	395.711527	113	286	3.288473	900	240.922073	56	195	10.077927	4.059444	39	4.487222	37	1
3.569801	3.142911	320.925862	273.493959	37.544766	67.782266	900	183.007115	45	150	11.992885	900	413.694495	37	388	11.305505	6.823333	45	6.793333	52	1
5.332176	5.608229	470.008111	545.057553	34.691017	39.1806	900	143.769662	35	119	10.230338	900	251.409537	73	191	12.590463	5.689444	30	6.114444	26	1
3.940721	2.207527	372.709117	231.699893	58.083133	16.967587	600	156.672247	35	126	4.327753	900	291.66515	19	277	4.33485	7.938889	34	8.198333	32	1
6.110988	2.866111	609.032771	263.532385	43.6655	30.144448	900	171.927416	76	102	6.072584	375	230.927416	20	221	5.029836	6.102222	30	13.827222	46	1
6.853802	4.470256	633.233926	390.409443	7.93139	30.893157	285	139.826938	10	134	6.173062	900	144.714379	15	143	13.285621	14.895	55	9.015	51	1
3.889823	6.165947	362.677098	619.254063	56.770602	21.688907	900	254.289385	44	223	12.710615	750	220.339059	28.5	207	15.160941	2.218333	11	2.893333	8	1
6.601237	1.381144	587.966788	145.934208	42.946916	16.014374	900	236.674071	31	218	12.325929	360	341.659987	96.5	247	1.840013	4.036667	28	5.796667	30	1
3.583493	6.276552	358.743636	612.368033	46.804601	15.241283	450	177.192112	49	135.5	7.307888	600	123.570041	74	52.5	2.929959	10.308333	56	7.863889	58	1
6.243024	4.630202	598.644006	475.835892	58.593403	15.66463	345	223.364653	25	211	12.635347	390	201.555943	31	175.5	4.944057	17.068889	53	13.042222	50	1
4.257362	4.900061	414.223144	555.933696	53.630473	57.167856	390	253.497728	15.5	241	3.002272	480	266.921538	27.5	243.5	4.078462	8.263333	41	6.498333	44	1
5.059249	1.705448	563.792077	192.571907	50.603965	13.235165	300	206.277905	17	200.5	11.222095	900	151.288101	75	80	3.711899	6.73	31	7.121667	26	1
4.883424	5.451386	414.774305	607.741457	43.587208	16.888725	420	290.760458	29.5	272	10.739542	360	142.963049	26.5	121.5	5.036951	7.09	40	9.358333	36	1
5.209614	4.419651	451.626389	421.202355	10.485197	26.113277	900	302.173923	15	290	2.826077	900	117.091382	73	53	8.908618	6.944444	45	4.691667	43	1
